Urdu,Latin
پکوائیں,pakwaain
دلوائیں,dhulwaain
نہلائیں,nehlaain
لکھوائیں,likhaain
سلائیں,silaain
کٹوائیں,katwaain
سنائیں,sunaain
سمبھالیں,sambhalain
خریدیں,khareedain
لیں,lain
بانٹیں,bantain
باندھیں,bandhain
گھوریں,ghoorain
دیں,dain
گزاریں,guzarain
ڈھونڈیں,dhoondain
چیخیں,cheekhain
ملیں,milain
گریں,girain
پھینکیں,phaikhain
ہاریں,harain
دھکیلیں,dhaikelain
کھینچیں,khainchain
پھسلیں,philsalain
پکڑیں,pakrdain
نچوڑیں,nachordain
کاٹیں,kaatain
مڑیں,murdain
رکھیں,rakhain
کھیلیں,khailain
چلیں,chalain
لپیٹیں,lapaitain
چھیلیں,cheelain
کریں,krain
پھنسیں,phansain
ڈریں,dordain
گھسیں,ghusain
بیٹھیں,bhaithain
جھکیں,jhukain
اڑیں,urdhain
بہیں,bahain
سلیں,silain
ماریں,marain
نگلیں,niglain
چوسیں,chusain
کھودیں,khodain
ٹھہریں,thehrain
پھیلیں,phelain
ڈوبیں,doobain
جھٹکیں,jhatkain
کھولیں,kholain
پلٹیں,paltain
تیریں,tairain
چھڑکیں,chirdkain
پرکھیں,parkhain
لڑیں,lardain
مانگیں,mangain
ابالیں,ubalain
موڑیں,mordain
جنیں,janain
دیکھیں,deikhain
کھلیں,khilain
جلیں,jalain
کسیں,kasain
پوچھیں,puchain
سراہیں,sarahain
ٹالیں,taalain
بچیں,bachain
جاگیں,jaagain
بغشیں,bakhsain
پڑھیں,pardhain
سیکھیں,sikhain
لکھیں,likhain
کہیں,kahain
بیچیں,baichain
بھاگیں,bhagain
اٹھیں,uthain
سنیں,sunain
رہیں,rahain
بولیں,bolain
بھیجیں,bhejhain
دکھیں,dukhain
سمجھیں,samjhain
بھولیں,bhoolain
چھوڑیں,chordain
لیٹیں,leitain
جیتیں,jeetain
پہنچایا,pohanchaya
چھپایا,chupaya
منایا,manaya
سکھایا,sikhaya
لگایا,lagaya
چھویا,chuya
بنایا,banaya
لٹکایا,latkaya
کھجایا,khujaya
اٹھایا,uthaya
چبایا,chabaya
ٹکرایا,takraya
پلٹایا,paltaya
پھیلایا,phelaya
بہکایا,behkaya
لایا,laya
شرمایا,sharmaya
جلایا,jalaya
دھندلایا,dhundlaya
جتایا,jataya
جگایا,jagaya
کھایا,khaya
پییا,piya
دھویا,dhoya
نہایا,nahaya
پڑھایا,pardhaya
پکایا,pakaya
سویا,soya
جایا,jaya
آیا,aaya
سمجھایا,samjhaya
بتایا,bataya
کروایا,krwaya
کھلایا,khilaya
بلایا,bulaya
کھویا,khoya
بنوایا,banwaya
پکوایا,pakwaya
دلوایا,dhulwaya
نہلایا,nehlaya
لکھوایا,likhaya
سلایا,silaya
کٹوایا,katwaya
سنایا,sunaya
سمبھالا,sambhala
خریدا,khareeda
لا,la
بانٹا,banta
باندھا,bandha
گھورا,ghoora
دا,da
گزارا,guzara
ڈھونڈا,dhoonda
چیخا,cheekha
ملا,mila
گرا,gira
پھینکا,phaikha
ہارا,hara
دھکیلا,dhaikela
کھینچا,khaincha
پھسلا,philsala
پکڑا,pakrda
نچوڑا,nachorda
کاٹا,kaata
مڑا,murda
رکھا,rakha
کھیلا,khaila
چلا,chala
لپیٹا,lapaita
چھیلا,cheela
کرا,kra
پھنسا,phansa
ڈرا,dorda
گھسا,ghusa
بیٹھا,bhaitha
جھکا,jhuka
اڑا,urdha
بہا,baha
سلا,sila
مارا,mara
نگلا,nigla
چوسا,chusa
کھودا,khoda
ٹھہرا,thehra
پھیلا,phela
ڈوبا,dooba
جھٹکا,jhatka
کھولا,khola
پلٹا,palta
تیرا,taira
چھڑکا,chirdka
پرکھا,parkha
لڑا,larda
مانگا,manga
ابالا,ubala
موڑا,morda
جنا,jana
دیکھا,deikha
کھلا,khila
جلا,jala
کسا,kasa
پوچھا,pucha
سراہا,saraha
ٹالا,taala
بچا,bacha
جاگا,jaaga
بغشا,bakhsa
پڑھا,pardha
سیکھا,sikha
لکھا,likha
کہا,kaha
بیچا,baicha
بھاگا,bhaga
اٹھا,utha
سنا,suna
رہا,raha
بولا,bola
بھیجا,bhejha
دکھا,dukha
سمجھا,samjha
بھولا,bhoola
چھوڑا,chorda
لیٹا,leita
جیتا,jeeta
پہنچائی,pohanchayi
چھپائی,chupayi
منائی,manayi
سکھائی,sikhayi
لگائی,lagayi
چھوئی,chuyi
بنائی,banayi
لٹکائی,latkayi
کھجائی,khujayi
اٹھائی,uthayi
چبائی,chabayi
ٹکرائی,takrayi
پلٹائی,paltayi
پھیلائی,phelayi
بہکائی,behkayi
لائی,layi
شرمائی,sharmayi
جلائی,jalayi
دھندلائی,dhundlayi
جتائی,jatayi
جگائی,jagayi
کھائی,khayi
پیئی,piyi
دھوئی,dhoyi
نہائی,nahayi
پڑھائی,pardhayi
پکائی,pakayi
سوئی,soyi
جائی,jayi
آئی,aayi
سمجھائی,samjhayi
بتائی,batayi
کروائی,krwayi
کھلائی,khilayi
بلائی,bulayi
کھوئی,khoyi
بنوائی,banwayi
پکوائی,pakwayi
دلوائی,dhulwayi
نہلائی,nehlayi
لکھوائی,likhayi
سلائی,silayi
کٹوائی,katwayi
سنائی,sunayi
سمبھالی,sambhali
خریدی,khareedi
لی,li
بانٹی,banti
باندھی,bandhi
گھوری,ghoori
دی,di
گزاری,guzari
ڈھونڈی,dhoondi
چیخی,cheekhi
ملی,mili
گری,giri
پھینکی,phaikhi
ہاری,hari
دھکیلی,dhaikeli
کھینچی,khainchi
پھسلی,philsali
پکڑی,pakrdi
نچوڑی,nachordi
کاٹی,kaati
مڑی,murdi
رکھی,rakhi
کھیلی,khaili
چلی,chali
لپیٹی,lapaiti
چھیلی,cheeli
کری,kri
پھنسی,phansi
ڈری,dordi
گھسی,ghusi
بیٹھی,bhaithi
جھکی,jhuki
اڑی,urdhi
بہی,bahi
سلی,sili
ماری,mari
نگلی,nigli
چوسی,chusi
کھودی,khodi
ٹھہری,thehri
پھیلی,pheli
ڈوبی,doobi
جھٹکی,jhatki
کھولی,kholi
پلٹی,palti
تیری,tairi
چھڑکی,chirdki
پرکھی,parkhi
لڑی,lardi
مانگی,mangi
ابالی,ubali
موڑی,mordi
جنی,jani
دیکھی,deikhi
کھلی,khili
جلی,jali
کسی,kasi
پوچھی,puchi
سراہی,sarahi
ٹالی,taali
بچی,bachi
جاگی,jaagi
بغشی,bakhsi
پڑھی,pardhi
سیکھی,sikhi
لکھی,likhi
کہی,kahi
بیچی,baichi
بھاگی,bhagi
اٹھی,uthi
سنی,suni
رہی,rahi
بولی,boli
بھیجی,bhejhi
دکھی,dukhi
سمجھی,samjhi
بھولی,bhooli
چھوڑی,chordi
لیٹی,leiti
جیتی,jeeti
پہنچائے,pohanchaye
چھپائے,chupaye
منائے,manaye
سکھائے,sikhaye
لگائے,lagaye
چھوئے,chuye
بنائے,banaye
لٹکائے,latkaye
کھجائے,khujaye
اٹھائے,uthaye
چبائے,chabaye
ٹکرائے,takraye
پلٹائے,paltaye
پھیلائے,phelaye
بہکائے,behkaye
لائے,laye
شرمائے,sharmaye
جلائے,jalaye
دھندلائے,dhundlaye
جتائے,jataye
جگائے,jagaye
کھائے,khaye
پیئے,piye
دھوئے,dhoye
نہائے,nahaye
پڑھائے,pardhaye
پکائے,pakaye
سوئے,soye
جائے,jaye
آئے,aaye
سمجھائے,samjhaye
بتائے,bataye
کروائے,krwaye
کھلائے,khilaye
بلائے,bulaye
کھوئے,khoye
بنوائے,banwaye
پکوائے,pakwaye
دلوائے,dhulwaye
نہلائے,nehlaye
لکھوائے,likhaye
سلائے,silaye
کٹوائے,katwaye
سنائے,sunaye
سمبھالے,sambhale
خریدے,khareede
لے,le
بانٹے,bante
باندھے,bandhe
گھورے,ghoore
دے,de
گزارے,guzare
ڈھونڈے,dhoonde
چیخے,cheekhe
ملے,mile
گرے,gire
پھینکے,phaikhe
ہارے,hare
دھکیلے,dhaikele
کھینچے,khainche
پھسلے,philsale
پکڑے,pakrde
نچوڑے,nachorde
کاٹے,kaate
مڑے,murde
رکھے,rakhe
کھیلے,khaile
چلے,chale
لپیٹے,lapaite
چھیلے,cheele
کرے,kre
پھنسے,phanse
ڈرے,dorde
گھسے,ghuse
بیٹھے,bhaithe
جھکے,jhuke
اڑے,urdhe
بہے,bahe
سلے,sile
مارے,mare
نگلے,nigle
چوسے,chuse
کھودے,khode
ٹھہرے,thehre
پھیلے,phele
ڈوبے,doobe
جھٹکے,jhatke
کھولے,khole
پلٹے,palte
تیرے,taire
چھڑکے,chirdke
پرکھے,parkhe
لڑے,larde
مانگے,mange
ابالے,ubale
موڑے,morde
جنے,jane
دیکھے,deikhe
کھلے,khile
جلے,jale
کسے,kase
پوچھے,puche
سراہے,sarahe
ٹالے,taale
بچے,bache
جاگے,jaage
بغشے,bakhse
پڑھے,pardhe
سیکھے,sikhe
لکھے,likhe
کہے,kahe
بیچے,baiche
بھاگے,bhage
اٹھے,uthe
سنے,sune
رہے,rahe
بولے,bole
بھیجے,bhejhe
دکھے,dukhe
سمجھے,samjhe
بھولے,bhoole
چھوڑے,chorde
لیٹے,leite
جیتے,jeete
لیا,liya
لیے,liye
دیا,diya
دیے,diye
کیے,kiye
گیا,gaya
گئی,gayi
گئے,gaye
چاول,chawal
روٹی,roti
سبزی,sabzi
مچھلی,machli
بریانی,biryani
پانی,pani
چائے,chay
کپڑا,kaprda
امی,ami
ابو,abu
بھائی,bhai
بہن,behan
چاچا,chacha
چاچی,chachi
چاچو,chachu
نانا,nana
نانی,nani
دادا,dada
دادی,dadi
ماموں,mamu
ممانی,mumani
خالہ,khala
خالو,khalun
گوشت,gosht
گھاس,ghaas
پتا,ptta
کیلا,kela
پنیر,paneer
پپیتا,papeeta
مکئی,makai
ہڈی,handdi
کمرا,kamra
دیوار,diwar
کرسی,kursi
میز,maiz
گاڑی,gardi
چابی,chabi
انگلی,ungli
ہاتھ,haath
تالا,tala
اندازہ,andaza
فیصلا,faisla
دھوکا,dhoka
مطالبہ,mutalba
پابندی,pabandi
حادثہ,haadsa
مکا,mukka
کنگی,kangi
مشکل,muskil
جواب,jawab
سوال,sawal
چھلانگ,chalang
یاد,yaad
قدم,qadam
چوٹ,chot
رنگ,rang
تالی,tali
دورہ,dora
رات,raat
فصل,fasal
قست,qisat
تھپڑ,thapard
دھمکی,dhamki
تھپکی,thapki
دھماکہ,dhamaaka
درخواست,darkhawast
مشورہ,mashwara
حملہ,hamla
شادی,shadi
شکائت,shikayet
بات,baat
دوستی,dosti
غصہ,ghussa
وعدہ,wada
امید,umeed
لات,laat
تعریف,tareef
رقم,raqam
زمہ داری,zimadari
دن,din
مہینہ,maheena
سال,saal
سدی,sadi
کھال,khaal
دل,dil
گردہ,gurda
پھیپھڑا,phepra
دماغ,dimagh
جگر,jigar
چربی,charbi
آنت,aant
رگ,rag
گھٹنا,ghutna
پالک,palk
گھڑا,ghardha
چہرہ,chehra
جسم,jisam
بدن,badan
عضا,azaa
ہتھیلی,hatheli
کوہلا,kohle
ٹانگ,tang
ایڑی,aardi
پنڈلی,pindli
ران,raan
سر,sar
آنکھ,aankh
ناک,naak
کان,kaan
ہونٹ,hont
ماتھا,matha
منہ,mun
دانت,dant
مسوڑا,masurda
زبان,zabaan
گالہ,gala
گال,gaal
ٹھوڑی,thordi
چھاتی,chahti
میدہ,meida
پیٹ,pait
کمر,kamar
ناف,naaf
بال,baal
گردن,garden
ناخن,nakhun
بغل,baghal
پھل,phal
آم,aam
لیمو,limu
ناریل,nariyal
امرود,amrood
گنا,ganna
ٹماٹر,tamatar
خربوزہ,kharbuza
کھیرہ,kheera
بادام,badaam
انار,anaar
ناشپتی,naspati
سیب,seib
کینو,kinu
آلو,aalu
بخارہ,bakhara
شہتوت,shehtoot
خوبانی,khobani
تربوز,tarbooz
آڑو,ardu
باورچی,bawarchi
خانہ,khana
برتن,bartan
کڑاہی,khardayi
دیچکی,daichki
چلہا,culha
چھنہ,channa
کانٹا,kanta
ڈبہ,dabba
چھکو,chhiku
پونی,chay poni
بوری,bori
مرتبان,martban
جگ,jag
کیتلی,ketli
چمچ,chamach
پیالا,piala
کین,can
جھاڑو,jhardoo
رومال,rumaal
ٹوکری,tokri
کچرہ,kachra
کوئلا,koila
زہر,zehar
پلنگ,palang
بستر,bistar
سرہانہ,sarhana
تکیہ,takiya
بتی,batti
گڑیا,gurdiya
الماری,almari
دراز,draz
تصویر,tasveer
آئینہ,aayina
شیشہ,sheesha
گھڑی,ghardi
موم,mom
کنگا,kanga
اٹیچی,ataichi
میز,meiz
کانچ,kanch
پنکھا,pankha
پردہ,parda
اشاڑ,ashaard
قالین,qaleen
بیٹھک,baithak
موسم,mousam
گرمی,garmi
سردی,sardi
بہار,bahaar
خزاں,khazaan
بارش,barish
آلود,alood
ابر,abar
برف,barf  
چمک,chamak
گرج,graj chamk
آسمان,asmaan
آسمانی,asmaani
بجلی,bijli
روشن,roshan
چمکدار,chamkdar
اوس,os
دھند,dhund
گھر,ghar
دروازہ,darwaza
فرش,farash
گلاس,glaas
زمین,zameen
دریا,darya
سمندر,samundar
ندی,nadi
نالا,nala
طوفان,tofan
لفظ,lafaz
روٹیاں,rotian
سبزیاں,sabzian
مچھلیاں,machlian
کپڑے,kaprde
پتے,pate
کیلے,kele
پپیتے,papeete
ہڈیاں,haddian
کمرے,kamre
کرسیاں,kursian
گاڑیاں,gardian
چابیاں,chabian
انگلیاں,unglian
تالے,tale
اندازے,andaze
فیصلے,faisle
دھوکے,dhoke
مطالبے,mutalbe
پاندیاں,pabandian
حادثے,haadse
مکے,mukke
کنگیاں,kangian
مشکلات,mushkelaat
جاوابات,jawabaat
ساوالات,sawalaat
چھلانگیں,chalaangain
یادیں,yaadain
اقدام,iqdaam
چوٹیں,chotain
تالیاں,taliaan
دورے,dore
راتیں,raatain
فصلیں,faslain
قستیں,qistain
دھمکیاں,dhamkiaan
تھپکیاں,thapkian
دھماکے,dhamake
درخواستیں,darkhwastain
مشورے,mashware
حملے,hamle
شادیاں,shadian
شکایات,shikayaat
باتیں,baatain
دوستیاں,dostiaan
غصے,gusse
وعدے,wade
امیدیں,umeedain
لاتیں,laatain
تعریفیں,tareefain
زمہ داریاں,zimadarian
مہنیے,maheene
سدیاں,sadiaan
گردے,gurde
پھیپھڑے,phephrde
آنتیں,aantain
رگیں,ragain
گھٹنے,ghutne
پلکیں,palkain
گھڑے,gharde
چہرے,chehre
اجسام,ijsaam
ہٹھلیاں,hathelian
کوہلے,kuhle
ٹانگیں,taangain
ایڑیاں,erdiaan
پنڈلیاں,pindiliaan
آنکھیں,aankhain
ماتھے,mathe
مسوڑے,masurde
زبانیں,zubanain
گلے,gale
گالیں,galain
ٹھوڑیاں,thordiaan
چھاتیاں,chatiaan
میدے,maide
گردنیں,gardanain
بغلیں,baghlain
گنے,ganne
خربوزے,kharbooze
کھیرے,kheere
خوبانیاں,khobaniaan
خانے,khane
کڑاہیاں,khardahiaan
دیچکیاں,dechkiaan
چلہے,chulhe
چھنے,chhanne
کانٹے,kante
ڈبے,dabbe
بوریاں,buriaan
کیتلیاں,keitliaan
پیالے,pyale
ٹوکریاں,tokriaan
کوئلے,koile
سرہانے,sarhane
تکیے,takiye
بتیاں,battiaan
الماریاں,almariaan
تصاویر,tasaaweer
آئینے,aaene
شیشے,sheeshe
گھڑیاں,ghardiaan
کنگے,kange
پنکھے,pankhe
پردے,parde
بارشیں,barishain
بجلیاں,bijliaan
دروازے,darwaaze
زمینیں,zameenain
ندیاں,nadiaan
نالے,nale
الفاظ,alfaaz
چاولوں,chawalon
روٹیوں,rotion
سبزیوں,sabzion
مچلیوں,machlion
بریانیوں,biryanion
پانیوں,panion
کپڑوں,kaprdon
پتوں,paton
کیلوں,kelon
پپیتوں,papeeton
ہڈیوں,handdion
کمروں,kamron
دیواروں,diwaron
کرسیوں,kursion
گاڑوں,gardion
چابیوں,chabion
انگلیوں,unglion
ہاتھوں,haathon
تالوں,talon
اندازوں,andazon
فیصلوں,faislon
مطالبوں,mutalbon
پابندوں,pabandion
حادثوں,haadson
مکوں,mukkon
کنگیوں,kangion
مشکلوں,mushklon
جوابوں,jawabon
سوالوں,sawalon
چھلانگوں,chalangon
یادوں,yaadon
قدموں,qadmon
چوٹوں,choton
رنگوں,rangon
تالیوں,talion
دوروں,doron
راتوں,raaton
فصلوں,faslon
قستوں,qiston
تھپڑوں,thaprdon
دھمکیوں,dhamkion
تھپکیوں,thapkion
دھماکوں,dhamakon
درخواستوں,darkhwaston
مشوروں,mashwron
حملوں,hamlon
شادیوں,shadion
شکائتوں,shikaton
باتوں,baton
دوستیوں,dostion
وعدوں,wadon
امیدوں,umeedon
لاتوں,laaton
تعریفوں,tareefon
رقوم,raqoom
زمہ داریوں,zimadarion
دنوں,dinon
مہینوں,maheenon
سالوں,saalon
سدیوں,sadion
کھالوں,khalon
دلوں,dilon
گردوں,gurdon
پھیپھڑوں,phephrdon
دماغوں,dimagon
جگروں,jigaron
چربیوں,charbion
آنتوں,aanton
رگوں,ragon
گھٹنوں,ghutnon
پلکوں,palkon
گھڑوں,ghardhon
چہروں,chehron
جسموں,jismon
بندنوں,bandnon
ہتھیلوں,hathelion
کوہلوں,kuhlon
ٹانگوں,tangon
ایڑیوں,erdion
پنڈلیوں,pindlion
رانوں,ranon
سروں,saron
آنکھوں,aankon
ناکوں,naakon
کانوں,kaanon
ہونٹوں,honton
ماتھوں,mathon
دانتوں,dabthon
مسوڑوں,masoordon
زبانوں,zubanon
گلوں,galon
گالوں,gaalon
ٹھوڑیوں,thordion
چھاتیوں,chhation
میدوں,meidon
پیٹوں,peiton
بالوں,baalon
گردنوں,gardanon
ناخنوں,nakhunon
بغلوں,baghalon
پھلوں,phalon
آموں,aamon
امرودوں,amroodon
گنوں,gannon
ٹماٹروں,tamatron
خربوزوں,khaboozon
کھیروں,khreedon
باداموں,badamon
اناوں,anaaron
سیبوں,saibon
کینوؤں,kinu
آلووں,aaluon
شہتوتوں,shehtooton
خوبانیوں,khobanion
تربوزوں,tarboozon
آڑوؤں,aardo
باورچیوں,bawarchion
خانوں,khanon
برتوں,bartanon
کڑاہیوں,kardahion
دیچکیوں,daichkion
چلہوں,chulhon
چھنوں,chhannon
کانٹوں,kaanton
ڈبوں,dabbon
چھکووں,chhikuon
پونیوں,ponion
بوریوں,borion
مرتبانوں,martbanon
کیتلیوں,khaiton
چمچوں,chamchon
پیالوں,pialon
جھاڑووں,jharduon
رومالوں,rumalon
ٹوکریوں,tokrion
کچروں,kachron
کوئلوں,koilon
پلنگوں,palangon
بستروں,bistron
سرہانوں,sarhanon
تکیوں,takion
بتیوں,battion
گڑیوں,gurdion
الماریوں,almarion
درازوں,darazon
تصویروں,tasweeron
آئینوں,aainon
شیشوں,sheeshon
گھڑیوں,ghardion
کنگوں,kangon
کانچوں,kanchon
پنکھوں,pankhon
پردوں,pardon
قالینوں,qaleenon
موسموں,mosamom
گرمیوں,garmion
سردیوں,sardion
بہاروں,baharon
خزاوں,khizaaon
بارشوں,barishon
برفوں,barfon
آسمانوں,aasmaanon
بجلیوں,bijlion
گھروں,gharon
دروازوں,darwazon
فرشوں,farshon
گلاسوں,glaason
زمینوں,zameenon
دریاوں,daryaaon
سمندروں,samundaron
ندیوں,nadion
نالوں,naalon
طوفانوں,tofaanon
لفظوں,lafzon
حاضر,hazir
دفا,difa
واپس,wapis
ادا,ada
ساتھ,saath
قرض,qaraz
پیش,paish
اجازت,ijazat
مسترد,mustrad
اکٹھا,ikattha
مجبور,majboor
قبول,qabool
مہسوس,mehsoos
الزام,ilzaam
ادھار,udhaar
غور,ghor
منتقل,muntqil
پورا,pura
پوری,puri
پورے,pure
پیچھے,piche
آگے,aage
نیچے,niche
سامنے,saamne
اندر,andar
اوپر,upar
تعلق,taluq
الگ,alag
زمہ دار,zima dar
مخالفت,mukhalfat
ظاہر,zahar
توہین,toheen
مہسر,mehsar
ٹیک,taik
ٹھیک,theek
بند,band
پاؤں,paun
تباہ,bahan
عتراف,atraaz
پیچھا,picha
گریز,guraiz
کم,kam
سزا,saza
قبضہ,qabza
سوراکھ,sorakh
روانہ,rawana
اغواہ,aghwa
دودھ,doodh
پیدہ,paida
دبکی,dabki
ہمت,himat
تماکو,tamaku
نوشی,noshi
کدو,kaddo
کش,kash
دعوت,daawat
تنگ,tang
پیمائش,pemaish
مشق,mashaq
ہوا,hawa
خراب,kharab
برقرار,berqaraar
منہ,mun
منسوبہ,mansooba
خون,khoon
سوار,swaar
سانس,saans
سلوک,salook
دعا,doa
جوبن,joban
ڈینگیں,dingain
تعمیر,tameer
دفن,dafan
پھٹ,phat
برش,burash
واقع,waqe
عقیدہ,aqeeda
اعتبار,atbaar
داؤ,dao
بولی,boli
کاری,kari
ضرب,zarab
شہر,shehar
حسین,haseen
دھوکہ,dhokha
التجا,iltja
شروع,shuru
کاروائی,karwai
برداشت,bardasht
عمل,amal
حاصل,hasil
داخل,dakhal
مرتب,martab
متفق,mutfiq
بحث,behas
گرفتار,girftar
ترتیب,terteeb
حیران,heraan
اعلان,alaan
منظور,manzoor
معافی,moaafi
زندگی,zindgi
اترنا,utarna
استطاعت,isttaat
موجود,mojood
شامل,shamil
درد,dard
جذب,jazab
اعتراف,atraaf
نمودار,namoodar
اہتمام,ehtmaam
نماز,namaz
کام,kaam
ناشتہ,nashta
خریداری,khareedari
خریدار,khareedar
انتظار,intezaar
کوشش,koshish
جاڑو,jhardu
سیر,sair
سامنا,samna
پسند,pasand
سابط,sabat
تیار,tyaar
منع,mana
معاف,moaf
پیار,pyar
قسم,qisam
مالش,malish
جھوٹ,jhoot
نہیں,nahi
ابھی,abhi
تک,tak
ہمیشہ,hamesha
ہر,har
کبھی,kabhi
بجے,baje
پیر,peer
منگل,mangal
بدھ,budh
جمرات,jumeraat
جمہ,jumaah
ہفتہ,hafta
ہفتے,hafte
ہفتوں,hafton
اتوار,itwar
صبح,subah
دوپہر,dupehar
شام,sham
شب,shab
باخیر,bakhair
نام,naam
جنوری,january
فروری,february
مارچ,march
اپریل,april
مئی,may
جون,june
جولائی,july
اگست,august
ستمبر,september
اکتوبر,october
نومبر,november
دسمبر,december
سمندری,samundari
دریائی,daryai
طوفانی,tofani
یہ,ye
پاگل,pagal
انہوں,unhon
گھنٹا,ghanta
گنٹے,gnahte
گنٹوں,ghanton
ساحل,sahal
ساحلوں,sahalon
منار,manar
منارے,manare
مناروں,manaron
بندرگاہ,bandar gah
بندرگاہوں,bandar gahon
چوٹی,choti
چوٹیاں,chotiaan
چوٹیوں,chotion
جھیل,jheel
جھیلیں,jheelain
جیھیلوں,jheelon
دکان,dukaan
دکانیں,dukaanain
دکانوں,dukaanon
تالاب,talab
تالابوں,talabon
پل,pul
پلوں,pulon
چٹان,chattan
چٹانیں,chattanain
چٹانوں,chattanon
قبر,qabar
قبریں,qabarain
قبروں,qabaron
سینمہ,cinema
ہسپتال,hasptaal
ہسپتالوں,hasptaalon
اسکول,school
اسکولوں,schoolon
گاؤں,gaaun
سکول,school
سکولوں,schoolon
مرکز,markaz
مرکزوں,markazon
دفتر,daftar
دفاتر,dafatar
دفتروں,daftaron
محل,mehal
محلوں,mehalon
محلات,mehalaat
مندر,mandar
مندوں,mandar
قلعہ,qala
قلعوں,qalon
سڑک,sardak
سڑکیں,sardakain
سڑکوں,sardakon
گلی,gali
گلیاں,galian
گلیوں,galion
بازار,bazar
بازاروں,bazaron
سرکاری,sarkari
عمارت,imarat
عمارتوں,imaraton
عمارات,imaaraat
عمارتیں,imaartain
کار,car
کاریں,karain
کاروں,kaaron
خانہ,khana
باغ,bagh
باغوں,baghon
چڑیا,chirdiya
چڑیوں,chirdiyon
چڑیاں,chirdiyaan
سرنگ,surang
سرنگیں,surangain
سرنگوں,surangon
کھیت,khait
کھیتوں,khaiton
گھاٹی,ghati
گھاٹیوں,ghation
گھاٹیاں,ghatiaan
ہال,haal
ہالوں,haalon
پارک,park
پارکیں,parkain
پارکوں,parkon
دالان,dalaan
دالانوں,dalaanon
پنجرہ,pinjra
پنجرے,pinjre
پنجروں,pinjron
صحرا,sehra
صحراؤں,sehraon
مسجد,masjid
مسجدیں,masjidain
مسجدوں,masjidon
مساجد,masaajid
گرجہ,girja
گرجوں,girjon
ا,a
ب,b
پ,p
ت,t
ٹ,t
ث,s
ج,j
چ,ch
ح,h
خ,kh
د,d
ڈ,d
ذ,z
ر,r
ز,z
ڑ,rd
ژ,y
س,s
ش,sh
ص,s
ض,z
ط,t
ظ,z
ع,a
غ,gh
ف,f
ق,q
ک,k
گ,g
ل,l
م,m
ن,n
و,w
ہ,h
ی,y
ے,y
ھ,h
آ,aa
آرہے,aa rahe
آرہا,aa raha
آرہی,aa rahi
؟,?
۔,.
مصروف,masroof
معزرت,mazrat
بہت,bohat
محبت,mohabat
گاہک,gahak
